Unnamed: 0,datetime,open,high,low,close,volume,signals,trade_type,ema_20,ema_40,sma_4,sma_16,sma_32,sma_200,vol_avg_40,volume_condition
0,2019-09-08 16:00:00,10000.0,10000.0,10000.0,10000.0,0.002,0,hold,10000.0,10000.0,,,,,,False
1,2019-09-08 18:00:00,10344.77,10357.53,10337.43,10340.12,471.659,0,hold,10032.39238095238,10016.591219512196,,,,,,False
2,2019-09-08 20:00:00,10340.12,10391.9,10324.77,10391.9,1273.03,0,hold,10066.63120181406,10034.898964901844,,,,,,False
3,2019-09-08 22:00:00,10392.59,10412.65,10366.57,10391.63,1351.6,0,hold,10097.58346830796,10052.300478809071,10280.9125,,,,,False
4,2019-09-09 00:00:00,10391.63,10391.63,10391.63,10391.63,0.0,0,hold,10125.587899897677,10068.85313837936,10378.82,,,,,False
5,2019-09-09 02:00:00,10316.62,10316.68,10267.37,10297.89,779.449,0,hold,10141.997623716945,10080.025668214512,10368.262499999999,,,,,False
6,2019-09-09 04:00:00,10297.89,10316.34,10251.51,10304.32,1351.802,0,hold,10157.456897648664,10090.966855130877,10346.3675,,,,,False
7,2019-09-09 06:00:00,10304.32,10305.51,10092.71,10149.47,1312.987,0,hold,10156.696240729743,10093.820667075712,10285.8275,,,,,False
8,2019-09-09 08:00:00,10149.47,10267.74,10077.22,10248.89,1434.716,0,hold,10165.476598755482,10101.385024779336,10250.1425,,,,,False
9,2019-09-09 10:00:00,10249.57,10475.54,10196.76,10414.6,1031.769,0,hold,10189.202636969248,10116.663804058391,10279.32,,,,,False
10,2019-09-09 12:00:00,10411.7,10411.7,10317.61,10322.37,1717.496,0,hold,10201.885242972176,10126.69825264091,10283.8325,,,,,False
11,2019-09-09 14:00:00,10327.06,10363.82,10302.69,10314.26,1668.519,0,hold,10212.587600784347,10135.84760617062,10325.029999999999,,,,,False
12,2019-09-09 16:00:00,10314.26,10333.55,10183.31,10263.33,2040.234,0,hold,10217.420210233458,10142.06625952815,10328.64,,,,,False
13,2019-09-09 18:00:00,10261.38,10323.13,10237.17,10308.87,1875.095,0,hold,10226.12971402075,10150.203027356043,10302.2075,,,,,False
14,2019-09-09 20:00:00,10307.8,10420.65,10228.28,10289.48,1242.855,0,hold,10232.163074590202,10156.997026021603,10293.985,,,,,False
