Unnamed: 0,datetime,open,high,low,close,volume,signal,trade_type,rsi,signals
0,2019-09-08,10000.0,10412.65,10000.0,10391.63,3096.291,0,,,0
1,2019-09-09,10316.62,10475.54,10077.22,10307.0,14824.373,0,,,0
2,2019-09-10,10307.0,10382.97,9940.87,10102.02,9068.955,0,,,0
3,2019-09-11,10094.27,10293.11,9884.31,10159.55,10897.922,0,,,0
4,2019-09-12,10163.06,10450.13,10042.12,10415.13,15609.634,0,short,63.34598107845355,-1
5,2019-09-13,10414.96,10440.55,10153.51,10341.34,19252.721,0,,53.06573169934813,0
6,2019-09-14,10343.01,10419.97,10222.77,10332.25,20656.624,0,,51.771966018712384,0
7,2019-09-15,10333.47,10359.2,10024.81,10302.22,20536.255,0,,47.036349365828514,0
8,2019-09-16,10302.0,10353.81,10080.7,10249.27,20185.637,0,,39.14458332815727,0
9,2019-09-17,10257.3,10270.63,10136.77,10186.52,22519.607,0,,31.352256259288183,0
10,2019-09-18,10183.87,10256.65,10097.92,10155.16,20832.895,0,,27.884626886760813,0
11,2019-09-19,10154.7,10331.62,9530.02,10245.3,26228.754,0,,48.39275631893741,0
12,2019-09-20,10247.7,10279.3,10070.5,10166.35,23265.91,0,,36.90312823608137,0
13,2019-09-21,10166.56,10175.3,9912.63,9983.33,23642.387,0,,21.86217403762835,0
14,2019-09-22,9992.7,10089.52,9857.0,10023.04,23916.354,0,,29.639857526748784,0
15,2019-09-23,10027.69,10046.91,9620.0,9701.96,31927.062,0,,14.775357262901878,0
16,2019-09-24,9701.1,9792.83,8645.61,8645.61,29758.535,0,,4.824719879374925,0
17,2019-09-25,8493.32,8725.24,8200.0,8430.07,48222.102,0,,4.117469269254187,0
18,2019-09-26,8428.15,8464.4,7700.67,8060.15,60065.945,0,,3.1323972069098716,0
19,2019-09-27,8061.98,8260.0,7851.94,8176.52,40034.653,0,,11.461759591251436,0
20,2019-09-28,8178.26,8311.0,8001.14,8195.38,33820.919,0,,12.977673582906903,0
21,2019-09-29,8199.0,8226.35,7888.98,8041.96,35966.056,0,,11.053313024573768,0
22,2019-09-30,8042.08,8331.89,7709.01,8285.84,54412.52,0,,31.29627667644472,0
23,2019-10-01,8285.31,8499.0,8171.0,8290.0,39212.804,0,,31.628056066179838,0
24,2019-10-02,8290.0,8365.92,8149.35,8352.14,30329.179,0,,37.28316762714352,0
25,2019-10-03,8353.4,8386.0,8020.0,8220.27,33430.23,0,,30.57486600015578,0
26,2019-10-04,8219.95,8227.42,7979.95,8130.56,28421.111,0,,26.517556446000313,0
27,2019-10-05,8130.0,8175.0,8010.0,8122.14,30262.006,0,,26.11103918970285,0
28,2019-10-06,8122.01,8148.43,7760.0,7852.79,41909.039,0,,16.187874291153776,0
29,2019-10-07,7851.01,8330.0,7764.42,8186.88,62760.299,0,,47.26232861760309,0
30,2019-10-08,8188.55,8322.01,8103.88,8167.62,44715.165,0,,46.03244637643088,0
31,2019-10-09,8168.33,8700.0,8113.0,8559.77,65453.643,0,,67.53439634589125,0
32,2019-10-10,8559.77,8640.89,8419.34,8556.02,44285.668,0,,67.21428889354485,0
33,2019-10-11,8557.0,8788.0,8210.0,8255.58,69157.964,0,,45.57868396520965,0
34,2019-10-12,8255.54,8397.45,8248.34,8300.22,37761.514,0,,48.648664505579234,0
35,2019-10-13,8300.31,8456.0,8137.3,8274.66,43820.913,0,,46.7606981694864,0
36,2019-10-14,8274.33,8381.77,8205.02,8346.05,61999.821,0,,53.11340177936975,0
37,2019-10-15,8346.31,8408.62,8080.0,8160.01,86246.749,0,,38.247081005575446,0
38,2019-10-16,8160.55,8184.0,7900.24,7992.21,70434.452,0,,29.07264195098213,0
39,2019-10-17,7994.76,8124.63,7930.0,8069.2,58354.602,0,,37.65028679981527,0
40,2019-10-18,8069.41,8117.3,7812.0,7943.94,75251.352,0,,30.218197304997545,0
41,2019-10-19,7945.57,8108.54,7852.12,7947.13,78024.395,0,,30.653962540803946,0
42,2019-10-20,7947.78,8300.5,7871.17,8218.23,78663.915,0,,58.3100453202814,0
43,2019-10-21,8218.23,8334.57,8150.0,8201.74,59928.516,0,,56.59395472708639,0
44,2019-10-22,8201.0,8290.0,8000.0,8020.89,69506.88,0,,40.32448143362304,0
45,2019-10-23,8020.68,8047.78,7172.76,7465.0,108484.139,0,,19.16065565448241,0
46,2019-10-24,7465.18,7495.81,7337.44,7411.35,66719.534,0,,18.019712215700906,0
47,2019-10-25,7410.07,8800.0,7359.0,8650.0,165118.926,0,,69.84325532766744,0
48,2019-10-26,8650.0,10408.48,8626.89,9232.22,248161.161,0,long,78.01058196665053,2
49,2019-10-27,9234.75,9803.83,9066.07,9533.32,163544.019,0,,81.28682810073501,0
50,2019-10-28,9534.37,9930.13,9156.03,9217.36,155599.975,0,short,67.99790774720967,-2
51,2019-10-29,9215.78,9569.1,9070.0,9415.02,124703.014,0,long,71.62532205068928,2
52,2019-10-30,9415.02,9418.65,8975.72,9165.3,98464.858,0,short,60.75069041906593,-2
