signals,trade_type,datetime,high,open,close,low,volume
0,,2019-09-08 16:00:00,10357.53,10000.0,10340.12,10000.0,471.661
0,,2019-09-08 20:00:00,10412.65,10340.12,10391.63,10324.77,2624.63
0,,2019-09-09 00:00:00,10316.68,10316.62,10297.89,10267.37,779.449
0,,2019-09-09 04:00:00,10316.34,10297.89,10149.47,10092.71,2664.789
0,,2019-09-09 08:00:00,10475.54,10149.47,10414.6,10077.22,2466.485
0,,2019-09-09 12:00:00,10411.7,10411.7,10314.26,10302.69,3386.015
0,,2019-09-09 16:00:00,10333.55,10314.26,10308.87,10183.31,3915.329
0,,2019-09-09 20:00:00,10420.65,10307.8,10307.0,10228.28,1612.306
0,,2019-09-10 00:00:00,10382.97,10307.0,10307.25,10266.61,1547.455
0,,2019-09-10 04:00:00,10329.24,10309.17,10272.46,10226.81,1706.083
0,,2019-09-10 08:00:00,10290.01,10271.93,10254.56,10206.87,1409.001
0,,2019-09-10 12:00:00,10270.58,10252.7,10179.1,10167.91,1529.81
0,,2019-09-10 16:00:00,10237.41,10172.13,10026.56,9940.87,1413.946
0,,2019-09-10 20:00:00,10127.22,10021.49,10102.02,9991.73,1462.66
0,,2019-09-11 00:00:00,10293.11,10094.27,10093.88,10051.0,1377.981
0,,2019-09-11 04:00:00,10097.65,10091.53,10067.46,9884.31,1416.504
0,,2019-09-11 08:00:00,10138.01,10068.41,10070.53,9988.69,1031.664
0,,2019-09-11 12:00:00,10101.38,10062.34,9991.84,9973.15,1826.186
0,,2019-09-11 16:00:00,10123.29,9992.18,10077.6,9934.11,2623.529
0,,2019-09-11 20:00:00,10184.66,10073.64,10159.55,10064.11,2622.058
0,,2019-09-12 00:00:00,10205.46,10163.06,10113.43,10085.88,2704.325
0,,2019-09-12 04:00:00,10129.19,10116.97,10078.96,10042.12,2502.598
0,,2019-09-12 08:00:00,10187.9,10079.76,10170.93,10076.95,2531.512
0,,2019-09-12 12:00:00,10365.15,10170.0,10326.58,10170.0,2529.0
0,,2019-09-12 16:00:00,10349.91,10327.25,10308.8,10239.42,2724.169
0,,2019-09-12 20:00:00,10450.13,10301.82,10415.13,10300.85,2618.03
0,,2019-09-13 00:00:00,10440.55,10414.96,10364.64,10329.3,2483.692
0,,2019-09-13 04:00:00,10399.81,10364.82,10284.03,10267.89,3589.585
0,,2019-09-13 08:00:00,10327.14,10283.68,10306.52,10251.99,3343.982
0,,2019-09-13 12:00:00,10344.0,10306.52,10296.57,10270.0,3556.49
0,,2019-09-13 16:00:00,10310.08,10294.81,10210.25,10186.34,3278.396
0,,2019-09-13 20:00:00,10355.85,10210.25,10341.34,10153.51,3000.576
0,,2019-09-14 00:00:00,10353.72,10343.01,10280.77,10267.08,3297.903
0,,2019-09-14 04:00:00,10330.61,10280.58,10316.67,10259.75,2973.282
0,,2019-09-14 08:00:00,10348.0,10319.07,10291.93,10287.53,3337.285
0,,2019-09-14 12:00:00,10396.4,10292.13,10358.0,10222.77,4138.968
0,,2019-09-14 16:00:00,10398.0,10355.61,10363.8,10325.41,3532.679
0,,2019-09-14 20:00:00,10419.97,10363.63,10332.25,10317.39,3376.507
0,,2019-09-15 00:00:00,10359.2,10333.47,10303.39,10024.81,3539.363
0,,2019-09-15 04:00:00,10326.59,10302.49,10308.96,10273.21,3019.367
0,,2019-09-15 08:00:00,10320.0,10308.08,10296.63,10268.55,3250.042
0,,2019-09-15 12:00:00,10317.29,10296.54,10306.37,10252.28,3755.871
0,,2019-09-15 16:00:00,10332.61,10306.79,10294.68,10280.14,3603.548
0,,2019-09-15 20:00:00,10316.45,10294.46,10302.22,10265.32,3368.064
0,,2019-09-16 00:00:00,10353.81,10302.0,10300.07,10300.0,3490.788
0,,2019-09-16 04:00:00,10325.0,10300.24,10302.3,10279.69,3131.662
0,,2019-09-16 08:00:00,10316.71,10301.95,10282.74,10275.74,3112.623
0,,2019-09-16 12:00:00,10282.03,10282.03,10120.07,10115.0,3548.878
0,,2019-09-16 16:00:00,10160.39,10117.4,10124.17,10080.7,3419.057
0,,2019-09-16 20:00:00,10329.38,10120.37,10249.27,10119.29,3482.629
0,,2019-09-17 00:00:00,10261.36,10257.3,10224.09,10175.2,3556.014
0,,2019-09-17 04:00:00,10230.79,10225.02,10201.89,10165.0,3853.531
0,,2019-09-17 08:00:00,10205.81,10202.92,10163.0,10136.77,3791.041
0,,2019-09-17 12:00:00,10244.27,10162.7,10201.14,10151.62,3859.972
0,,2019-09-17 16:00:00,10262.49,10201.09,10255.91,10200.39,3683.462
0,,2019-09-17 20:00:00,10270.63,10256.52,10186.52,10171.37,3775.587
0,,2019-09-18 00:00:00,10256.65,10183.87,10206.05,10183.87,3573.478
0,,2019-09-18 04:00:00,10228.41,10206.02,10198.54,10185.6,3431.504
0,,2019-09-18 08:00:00,10199.47,10199.39,10156.12,10150.0,3257.517
0,,2019-09-18 12:00:00,10210.0,10156.7,10172.91,10097.92,4003.08
0,,2019-09-18 16:00:00,10212.25,10172.84,10171.17,10132.51,3340.706
0,,2019-09-18 20:00:00,10211.9,10172.65,10155.16,10143.0,3226.61
0,,2019-09-19 00:00:00,10185.55,10154.7,9821.97,9530.02,4653.142
0,,2019-09-19 04:00:00,9916.0,9820.96,9872.38,9780.75,3896.305
0,,2019-09-19 08:00:00,9895.37,9872.71,9856.5,9820.0,3859.26
0,,2019-09-19 12:00:00,9893.57,9856.5,9880.36,9845.11,3577.789
0,,2019-09-19 16:00:00,10109.51,9882.0,10086.98,9875.25,4871.372
0,,2019-09-19 20:00:00,10331.62,10088.91,10245.3,10088.91,5370.886
0,,2019-09-20 00:00:00,10279.3,10247.7,10214.76,10154.7,4230.857
0,,2019-09-20 04:00:00,10222.92,10212.78,10156.45,10148.99,3706.694
0,,2019-09-20 08:00:00,10187.1,10156.11,10173.72,10121.3,3454.159
0,,2019-09-20 12:00:00,10236.19,10172.45,10180.66,10141.31,4066.386
0,,2019-09-20 16:00:00,10189.13,10179.55,10161.6,10070.5,3987.006
0,,2019-09-20 20:00:00,10185.34,10161.4,10166.35,10070.67,3820.808
0,,2019-09-21 00:00:00,10175.3,10166.56,10124.75,10116.8,3662.893
0,,2019-09-21 04:00:00,10126.81,10124.35,10079.89,9963.02,4673.538
0,,2019-09-21 08:00:00,10081.07,10081.07,10046.6,9983.25,3967.174
0,,2019-09-21 12:00:00,10067.0,10046.6,10037.11,9912.63,3990.876
0,,2019-09-21 16:00:00,10056.0,10037.05,10016.8,9959.97,3519.366
0,,2019-09-21 20:00:00,10023.56,10016.78,9983.33,9943.05,3828.54
0,,2019-09-22 00:00:00,10001.98,9992.7,9872.07,9862.81,4561.077
0,,2019-09-22 04:00:00,10053.56,9872.0,10023.53,9857.0,3791.352
0,,2019-09-22 08:00:00,10089.52,10024.91,10001.83,9978.96,3755.569
0,,2019-09-22 12:00:00,10057.43,10000.53,9989.89,9932.01,3816.779
0,,2019-09-22 16:00:00,10025.0,9990.0,9987.48,9949.2,4011.848
0,,2019-09-22 20:00:00,10073.46,9987.61,10023.04,9982.6,3979.729
0,,2019-09-23 00:00:00,10046.91,10027.69,9975.58,9950.0,4722.711
0,,2019-09-23 04:00:00,9983.81,9978.57,9904.0,9878.51,3827.303
0,,2019-09-23 08:00:00,9968.49,9904.0,9915.09,9904.0,3484.654
0,,2019-09-23 12:00:00,9951.05,9914.11,9867.06,9708.91,7566.861
0,,2019-09-23 16:00:00,9883.89,9867.54,9805.1,9779.0,4499.082
0,,2019-09-23 20:00:00,9836.28,9804.39,9701.96,9620.0,7826.451
0,,2019-09-24 00:00:00,9792.83,9701.1,9718.71,9603.5,4279.612
0,,2019-09-24 04:00:00,9791.07,9718.63,9755.67,9689.0,2594.573
0,,2019-09-24 08:00:00,9768.0,9754.05,9726.09,9680.27,3996.677
0,,2019-09-24 12:00:00,9729.07,9725.67,9530.0,9408.47,15301.878
0,,2019-09-24 16:00:00,8689.49,8683.2,8645.61,8645.61,10.814
0,,2019-09-24 20:00:00,8755.44,8358.01,8495.83,8137.09,23548.671
0,,2019-09-25 00:00:00,8725.24,8493.32,8565.61,8492.65,8267.585
0,,2019-09-25 04:00:00,8589.25,8565.52,8322.35,8200.0,7839.039
0,,2019-09-25 08:00:00,8546.73,8325.28,8327.38,8215.0,7480.944
0,,2019-09-25 12:00:00,8460.0,8324.27,8293.28,8242.61,9081.314
0,,2019-09-25 16:00:00,8408.31,8295.79,8346.96,8223.71,6397.273
0,,2019-09-25 20:00:00,8628.44,8346.96,8430.07,8332.41,9155.947
0,,2019-09-26 00:00:00,8443.55,8428.15,8361.8,8316.61,4251.146
0,,2019-09-26 04:00:00,8431.0,8361.82,8379.0,8335.72,3154.622
0,,2019-09-26 08:00:00,8464.4,8378.75,8387.08,8367.89,3514.373
0,,2019-09-26 12:00:00,8438.88,8387.0,7921.82,7825.89,21856.29
0,,2019-09-26 16:00:00,8160.5,7924.55,8131.12,7700.67,22026.303
0,,2019-09-26 20:00:00,8157.0,8131.23,8060.15,8010.0,5263.211
0,,2019-09-27 00:00:00,8093.21,8061.98,8019.99,7940.37,4893.075
0,,2019-09-27 04:00:00,8081.49,8019.15,8060.01,7951.77,3443.524
0,,2019-09-27 08:00:00,8128.78,8060.0,7988.08,7951.37,6616.751
0,,2019-09-27 12:00:00,8097.0,7984.71,7977.1,7851.94,11382.027
0,,2019-09-27 16:00:00,8060.01,7976.3,7990.7,7934.73,6032.962
0,,2019-09-27 20:00:00,8260.0,7990.01,8176.52,7980.0,7666.314
0,,2019-09-28 00:00:00,8211.21,8178.26,8164.01,8120.02,3244.046
0,,2019-09-28 04:00:00,8222.11,8164.51,8211.76,8141.18,2915.339
0,,2019-09-28 08:00:00,8243.54,8212.47,8133.23,8124.03,3799.958
0,,2019-09-28 12:00:00,8135.7,8132.68,8064.07,8001.14,7324.607
0,,2019-09-28 16:00:00,8179.0,8067.1,8146.66,8038.28,4763.487
0,,2019-09-28 20:00:00,8311.0,8145.7,8195.38,8057.35,11773.482
0,,2019-09-29 00:00:00,8226.35,8199.0,8130.22,8121.96,4124.529
0,,2019-09-29 04:00:00,8141.26,8130.16,8083.08,8040.11,4554.654
0,,2019-09-29 08:00:00,8116.99,8086.33,8073.12,8031.34,4084.898
0,,2019-09-29 12:00:00,8078.05,8072.89,7965.7,7888.98,8625.319
0,,2019-09-29 16:00:00,8032.73,7965.7,7956.4,7920.01,6285.116
0,,2019-09-29 20:00:00,8127.06,7951.59,8041.96,7918.75,8291.54
0,,2019-09-30 00:00:00,8054.82,8042.08,7972.07,7953.58,6088.484
0,,2019-09-30 04:00:00,7974.75,7972.03,7792.82,7709.01,13568.502
0,,2019-09-30 08:00:00,8094.48,7793.19,8034.78,7775.01,12089.775
0,,2019-09-30 12:00:00,8300.66,8033.48,8280.0,7982.08,14038.751
0,,2019-09-30 16:00:00,8331.89,8277.05,8269.65,8186.0,4567.829
0,,2019-09-30 20:00:00,8288.86,8268.61,8285.84,8162.0,4059.179
0,,2019-10-01 00:00:00,8499.0,8285.31,8392.36,8171.0,7442.336
0,,2019-10-01 04:00:00,8466.75,8392.39,8405.03,8341.0,3662.252
0,,2019-10-01 08:00:00,8409.0,8400.79,8353.0,8285.0,5275.655
0,,2019-10-01 12:00:00,8424.72,8350.14,8361.09,8270.0,7066.94
0,,2019-10-01 16:00:00,8494.49,8361.18,8295.66,8225.03,10918.966
0,,2019-10-01 20:00:00,8396.56,8300.0,8290.0,8263.01,4846.655
0,,2019-10-02 00:00:00,8325.4,8290.0,8239.0,8201.0,4674.892
0,,2019-10-02 04:00:00,8262.25,8241.34,8194.52,8149.35,5230.51
0,,2019-10-02 08:00:00,8274.5,8194.76,8255.57,8194.76,3348.702
0,,2019-10-02 12:00:00,8280.0,8256.32,8230.4,8185.28,5439.207
0,,2019-10-02 16:00:00,8264.36,8230.41,8250.79,8177.29,6361.526
0,,2019-10-02 20:00:00,8365.92,8250.79,8352.14,8209.18,5274.342
0,,2019-10-03 00:00:00,8386.0,8353.4,8323.92,8302.86,3741.139
0,,2019-10-03 04:00:00,8363.36,8324.55,8258.14,8237.37,4023.595
0,,2019-10-03 08:00:00,8288.88,8258.9,8215.26,8184.91,5001.386
0,,2019-10-03 12:00:00,8243.0,8215.49,8104.71,8020.0,8390.436
0,,2019-10-03 16:00:00,8206.25,8104.41,8141.03,8086.0,5529.021
0,,2019-10-03 20:00:00,8274.59,8142.77,8220.27,8111.49,6744.653
0,,2019-10-04 00:00:00,8227.42,8219.95,8101.77,8050.0,8195.016
0,,2019-10-04 04:00:00,8140.0,8100.25,8126.61,7979.95,4461.004
0,,2019-10-04 08:00:00,8170.0,8130.0,8145.01,8080.81,3468.236
0,,2019-10-04 12:00:00,8179.0,8146.18,8140.95,8117.04,3790.723
0,,2019-10-04 16:00:00,8199.5,8142.63,8179.0,8121.1,4624.849
0,,2019-10-04 20:00:00,8208.88,8179.0,8130.56,8124.76,3881.283
0,,2019-10-05 00:00:00,8144.44,8130.0,8131.0,8089.5,5235.241
0,,2019-10-05 04:00:00,8138.63,8131.5,8104.88,8092.66,4075.45
0,,2019-10-05 08:00:00,8109.43,8104.88,8077.76,8066.0,4602.573
0,,2019-10-05 12:00:00,8085.0,8077.75,8077.11,8010.0,6494.837
0,,2019-10-05 16:00:00,8095.87,8075.3,8063.96,8028.14,4731.815
0,,2019-10-05 20:00:00,8175.0,8063.33,8122.14,8055.79,5122.09
0,,2019-10-06 00:00:00,8148.43,8122.01,8039.21,8009.0,7650.912
0,,2019-10-06 04:00:00,8073.19,8039.66,7958.19,7889.64,7482.703
0,,2019-10-06 08:00:00,7960.0,7959.39,7937.72,7859.03,6068.653
0,,2019-10-06 12:00:00,8045.51,7935.35,7995.98,7861.0,7743.64
0,,2019-10-06 16:00:00,8012.27,7995.98,7887.04,7760.0,6016.122
0,,2019-10-06 20:00:00,7919.01,7885.27,7852.79,7798.94,6947.009
0,,2019-10-07 00:00:00,7900.95,7851.01,7859.27,7764.42,10448.122
0,,2019-10-07 04:00:00,7876.0,7859.46,7862.0,7796.54,5973.937
0,,2019-10-07 08:00:00,8225.0,7862.0,7975.99,7862.0,12954.723
0,,2019-10-07 12:00:00,8330.0,7975.51,8174.58,7975.2,15681.018
0,,2019-10-07 16:00:00,8307.22,8173.58,8208.75,8133.52,11153.723
0,,2019-10-07 20:00:00,8249.89,8208.75,8186.88,8175.0,6548.776
0,,2019-10-08 00:00:00,8322.01,8188.55,8255.9,8188.04,8019.168
0,,2019-10-08 04:00:00,8284.78,8257.01,8206.24,8195.0,6662.867
0,,2019-10-08 08:00:00,8207.85,8206.24,8177.48,8132.27,8823.764
0,,2019-10-08 12:00:00,8242.52,8176.64,8182.46,8132.0,8339.493
0,,2019-10-08 16:00:00,8206.0,8183.46,8163.54,8157.05,5911.833
0,,2019-10-08 20:00:00,8206.0,8165.06,8167.62,8103.88,6958.04
0,,2019-10-09 00:00:00,8198.0,8168.33,8119.11,8117.98,6526.72
0,,2019-10-09 04:00:00,8193.17,8119.11,8177.4,8113.0,5729.723
0,,2019-10-09 08:00:00,8236.15,8173.72,8183.32,8154.34,7343.297
0,,2019-10-09 12:00:00,8700.0,8183.32,8550.09,8159.77,23301.533
0,,2019-10-09 16:00:00,8665.0,8549.48,8576.37,8490.9,13597.472
0,,2019-10-09 20:00:00,8609.35,8578.6,8559.77,8518.32,8954.898
0,,2019-10-10 00:00:00,8589.21,8559.77,8541.12,8495.7,6800.023
0,,2019-10-10 04:00:00,8640.89,8541.74,8611.27,8530.5,5725.803
0,,2019-10-10 08:00:00,8619.51,8611.75,8524.63,8465.84,9330.958
0,,2019-10-10 12:00:00,8553.99,8524.66,8536.08,8419.34,9584.298
0,,2019-10-10 16:00:00,8570.18,8536.03,8552.62,8482.48,5926.386
0,,2019-10-10 20:00:00,8587.24,8552.5,8556.02,8517.61,6918.2
0,,2019-10-11 00:00:00,8569.0,8557.0,8551.26,8475.46,7046.685
0,,2019-10-11 04:00:00,8788.0,8551.69,8385.26,8332.6,28895.823
0,,2019-10-11 08:00:00,8386.61,8384.6,8295.88,8280.0,10169.185
0,,2019-10-11 12:00:00,8357.3,8295.74,8341.0,8268.51,7700.058
0,,2019-10-11 16:00:00,8369.99,8341.0,8340.96,8277.37,8278.607
0,,2019-10-11 20:00:00,8350.0,8341.64,8255.58,8210.0,7067.606
0,,2019-10-12 00:00:00,8327.91,8255.54,8306.56,8248.34,5899.6
0,,2019-10-12 04:00:00,8356.0,8307.01,8336.35,8303.0,5885.266
0,,2019-10-12 08:00:00,8366.79,8336.33,8319.75,8289.26,5674.466
0,,2019-10-12 12:00:00,8397.45,8319.74,8368.79,8304.7,7058.38
0,,2019-10-12 16:00:00,8395.0,8368.94,8307.99,8290.5,6912.629
0,,2019-10-12 20:00:00,8343.65,8307.99,8300.22,8292.0,6331.173
0,,2019-10-13 00:00:00,8360.0,8300.31,8336.51,8277.32,5762.46
0,,2019-10-13 04:00:00,8354.11,8336.51,8319.36,8307.2,4445.248
0,,2019-10-13 08:00:00,8378.19,8318.76,8345.14,8316.06,4706.924
